2016-10-30T00:00:01: Error: ENOENT: no such file or directory, open '2016-10-30.json'
2016-10-30T00:00:01: 读取文件失败，可能是该文件不存在
2016-10-30T00:31:16: 读取文件成功
2016-10-30T00:31:19: 读取文件成功
2016-10-30T00:31:22: 读取文件成功
2016-10-30T00:31:25: 读取文件成功
2016-10-30T00:31:28: 读取文件成功
2016-10-30T00:31:31: 读取文件成功
2016-10-30T00:31:34: 读取文件成功
2016-10-30T00:31:37: 读取文件成功
2016-10-30T00:31:40: 读取文件成功
2016-10-30T00:31:43: 读取文件成功
2016-10-30T00:31:46: 读取文件成功
2016-10-30T00:31:49: 读取文件成功
2016-10-30T00:31:52: 读取文件成功
2016-10-30T00:31:55: 读取文件成功
2016-10-30T00:31:58: 读取文件成功
2016-10-30T00:32:01: 读取文件成功
2016-10-30T00:32:04: 读取文件成功
2016-10-30T00:32:07: 读取文件成功
2016-10-30T00:32:10: 读取文件成功
2016-10-30T00:32:13: 读取文件成功
2016-10-30T00:32:16: 读取文件成功
2016-10-30T00:32:19: 读取文件成功
2016-10-30T00:32:22: 读取文件成功
2016-10-30T00:32:25: 读取文件成功
2016-10-30T00:32:28: 读取文件成功
2016-10-30T00:32:31: 读取文件成功
2016-10-30T00:32:34: 读取文件成功
2016-10-30T00:32:37: 读取文件成功
2016-10-30T00:32:40: 读取文件成功
2016-10-30T00:32:43: 读取文件成功
2016-10-30T00:32:46: 读取文件成功
2016-10-30T00:32:49: 读取文件成功
