2016-10-27T00:00:02: Error: ENOENT: no such file or directory, open '2016-10-27.json'
2016-10-27T00:00:02: 读取文件失败，可能是该文件不存在
2016-10-27T00:20:11: 读取文件成功
2016-10-27T00:20:15: 读取文件成功
2016-10-27T00:20:18: 读取文件成功
2016-10-27T00:20:21: 读取文件成功
2016-10-27T00:20:24: 读取文件成功
2016-10-27T00:20:27: 读取文件成功
2016-10-27T00:20:30: 读取文件成功
2016-10-27T00:20:33: 读取文件成功
2016-10-27T00:20:36: 读取文件成功
2016-10-27T00:20:39: 读取文件成功
2016-10-27T00:20:42: 读取文件成功
2016-10-27T00:20:45: 读取文件成功
2016-10-27T00:20:48: 读取文件成功
2016-10-27T00:20:51: 读取文件成功
2016-10-27T00:20:54: 读取文件成功
2016-10-27T00:20:57: 读取文件成功
2016-10-27T00:21:00: 读取文件成功
2016-10-27T00:21:03: 读取文件成功
2016-10-27T00:21:06: 读取文件成功
2016-10-27T00:21:09: 读取文件成功
2016-10-27T00:21:12: 读取文件成功
2016-10-27T00:21:15: 读取文件成功
2016-10-27T00:21:18: 读取文件成功
2016-10-27T00:21:22: 读取文件成功
2016-10-27T00:21:24: 读取文件成功
2016-10-27T00:21:27: 读取文件成功
2016-10-27T00:21:30: 读取文件成功
2016-10-27T00:21:33: 读取文件成功
2016-10-27T00:21:36: 读取文件成功
2016-10-27T00:21:39: 读取文件成功
2016-10-27T00:21:42: 读取文件成功
2016-10-27T00:21:45: 读取文件成功
2016-10-27T00:21:48: 读取文件成功
2016-10-27T00:21:51: 读取文件成功
2016-10-27T00:21:55: 读取文件成功
2016-10-27T00:21:57: 读取文件成功
2016-10-27T00:22:00: 读取文件成功
2016-10-27T00:22:03: 读取文件成功
2016-10-27T00:22:06: 读取文件成功
2016-10-27T00:22:10: 读取文件成功
2016-10-27T00:22:12: 读取文件成功
2016-10-27T00:22:15: 读取文件成功
2016-10-27T00:22:18: 读取文件成功
2016-10-27T00:22:21: 读取文件成功
2016-10-27T00:22:24: 读取文件成功
2016-10-27T00:22:27: 读取文件成功
2016-10-27T00:22:30: 读取文件成功
2016-10-27T00:22:33: 读取文件成功
2016-10-27T00:22:36: 读取文件成功
2016-10-27T00:22:39: 读取文件成功
2016-10-27T00:22:42: 读取文件成功
2016-10-27T00:22:45: 读取文件成功
2016-10-27T00:22:48: 读取文件成功
2016-10-27T00:22:51: 读取文件成功
2016-10-27T00:22:54: 读取文件成功
2016-10-27T00:22:57: 读取文件成功
2016-10-27T00:23:00: 读取文件成功
2016-10-27T00:23:03: 读取文件成功
2016-10-27T00:23:06: 读取文件成功
2016-10-27T00:23:09: 读取文件成功
2016-10-27T00:23:12: 读取文件成功
2016-10-27T00:23:15: 读取文件成功
2016-10-27T00:23:18: 读取文件成功
2016-10-27T00:23:21: 读取文件成功
2016-10-27T00:23:24: 读取文件成功
2016-10-27T00:23:27: 读取文件成功
2016-10-27T00:23:30: 读取文件成功
2016-10-27T00:23:33: 读取文件成功
2016-10-27T00:23:36: 读取文件成功
2016-10-27T00:23:39: 读取文件成功
2016-10-27T00:23:42: 读取文件成功
2016-10-27T00:23:45: 读取文件成功
2016-10-27T00:23:48: 读取文件成功
2016-10-27T00:23:51: 读取文件成功
2016-10-27T00:23:54: 读取文件成功
2016-10-27T00:23:57: 读取文件成功
2016-10-27T00:24:00: 读取文件成功
2016-10-27T00:24:04: 读取文件成功
2016-10-27T00:24:06: 读取文件成功
2016-10-27T00:24:09: 读取文件成功
2016-10-27T00:24:12: 读取文件成功
2016-10-27T00:24:15: 读取文件成功
2016-10-27T00:24:18: 读取文件成功
2016-10-27T00:24:21: 读取文件成功
2016-10-27T00:24:24: 读取文件成功
2016-10-27T00:24:27: 读取文件成功
2016-10-27T00:24:30: 读取文件成功
